New Name	Number of larvae	Order	Family
109	2	Stomiiformes	Sternoptychidae
109	1	Lophiiformes	Tetraodontidae
109	1	Perciformes	Gobiidae
109	1	UND	UND
109	1	Perciformes	Pomacentridae
110	57	Stomiiformes	Sternoptychidae
110	1	UND	UND
110	1	UND	UND
110	1	UND	UND
111	2	Perciformes	Acropomatidae
111	2	Perciformes	Gobiidae
111	2	Stomiiformes	Sternoptychidae
112	1	Ophidiiformes	Ophidiidae
112	1	Syngnathiformes	Syngnathidae 
112	1	Perciformes	Scaridae
112	1	UND	UND
112	1	Scorpaeniformes	UND
113	1	Syngnathiformes	Syngnathidae 
113	1	UND	UND
113	1	UND	UND
113	4	UND	UND
114	1	Pleuronectiformes	Bothidae
114	2	Perciformes	Apogonidae
114	2	Aulopiformes	Paralepididae
114	12	Perciformes	Gobiidae
114	1	Perciformes	Callionymidae 
114	1	Perciformes	UND
114	1	Perciformes	UND
114	1	Perciformes	Apogonidae
114	2	Perciformes	UND
115	4	Perciformes	Labridae
116	1	Gasterosteiformes	Pegasidae
116	6	UND	UND
116	1	Perciformes	Apogonidae
116	1	Perciformes	Gobiidae
116	1	Perciformes	UND
116	1	UND	UND
116	1	UND	UND
116	1	UND	UND
116	1	UND	UND
117	3	Perciformes	Gobiidae
117	2	Perciformes	Apogonidae
117	2	UND	UND
117	1	UND	UND
117	1	UND	UND
118	1	Stomiiformes	Sternoptychidae
118	1	Anguilliformes	Congridae
118	1	Tetraodontiformes	Diodontidae
119	1	Tetraodontiformes	Diodontidae
120	1	Anguilliformes	UND
120	1	Lophiiformes	Antennariidae
120	2	Perciformes	Acropomatidae
121	3	Aulopiformes	Synodontidae
121	1	Pleuronectiformes	Bothidae
121	1	Perciformes	Labridae
121	1	UND	UND
122	1	Perciformes	Gobiidae
122	2	Perciformes	Apogonidae
122	1	UND	UND
122	1	Perciformes	UND
122	1	UND	UND
123	1	Tetraodontiformes	Tetraodontidae
123	1	Perciformes	Callionymidae 
124	1	Tetraodontiformes	Diodontidae
125	1	Anguilliformes	Congridae
125	1	UND	UND
125	1	Lophiiformes	Antennariidae
125	1	UND	UND
125	2	Perciformes	Apogonidae
126	1	Anguilliformes	UND
126	1	Perciformes	Scaridae
126	1	Lophiiformes	Antennariidae
126	1	Perciformes 	Pomacanthidae
126	1	Scorpaeniformes	Scorpaenidae
126	4	Pleuronectiformes	Bothidae
126	1	UND	UND
127	1	Perciformes	Scaridae
127	1	Tetraodontiformes	Monacanthidae
128	1	Perciformes	UND
128	1	Perciformes	Apogonidae
128	1	Perciformes	Gobiidae
129	21	Perciformes	Gobiidae
129	2	Aulopiformes	Paralepididae
129	1	Syngnathiformes	Syngnathidae 
129	1	Perciformes	Scaridae
129	1	UND	UND
129	4	Perciformes	Labridae
129	1	Perciformes	Callionymidae
129	1	UND	UND
129	8	Perciformes	Gobiidae
130	1	Anguilliformes	Muraenidae
130	1	Anguilliformes	Chlopsidae
130	2	Syngnathiformes	Syngnathidae 
130	1	Perciformes	Callionymidae 
130	2	Perciformes  	Serranidae 
130	2	Perciformes	Labridae
130	1	Aulopiformes	Synodontidae
131	1	Pleuronectiformes	Bothidae
131	1	Tetraodontiformes	Monacanthidae
131	1	Syngnathiformes	Syngnathidae 
131	2	Perciformes	Labridae
131	3	Perciformes	Apogonidae
131	6	UND	UND
132	1	Pleuronectiformes	Bothidae
132	1	Pleuronectiformes	UND
132	1	Syngnathiformes	Syngnathidae 
132	2	Perciformes	Labridae
132	2	Perciformes	Gobiidae
132	2	Perciformes	Apogonidae
132	1	Perciformes	Creediidae 
132	1	UND	UND
132	1	Perciformes	Lethrinidae
132	1	UND	UND
132	1	UND	UND
133	8	Perciformes	Labridae
133	2	Perciformes	Acanthuridae
133	2	Perciformes	Gobiidae
133	3	UND	UND
133	12	Perciformes  	Serranidae 
133	1	Pleuronectiformes	Bothidae
133	1	Aulopiformes	Synodontidae
133	2	Perciformes	Scaridae
133	1	Syngnathiformes	Syngnathidae 
133	6	UND	UND
134	5	Perciformes  	Serranidae 
134	2	Syngnathiformes	Syngnathidae 
134	2	Perciformes	Gobiidae
134	1	UND	UND
134	1	Tetraodontiformes	Monacanthidae
134	1	Perciformes	Apogonidae
134	1	Perciformes	Scaridae
134	3	Perciformes	Apogonidae
134	6	UND	UND
134	1	UND	UND
134	1	Perciformes	Apogonidae
135	2	Syngnathiformes	UND
135	1	Anguilliformes	UND
135	2	Tetraodontiformes	Monacanthidae
135	1	Perciformes	Gobiidae
135	1	Perciformes  	Serranidae 
135	1	UND	UND
135	4	Perciformes	Apogonidae
135	4	Perciformes  	Serranidae 
135	1	Perciformes	Apogonidae
136	1	Perciformes	Gobiidae
136	1	Perciformes  	Serranidae 
136	1	UND	UND
136	1	Syngnathiformes	Syngnathidae 
136	1	UND	UND
136	1	Perciformes	Labridae
137	2	Anguilliformes	UND
137	4	Perciformes	Labridae
137	4	Perciformes	Scaridae
137	2	Scorpaeniformes	Scorpaenidae
137	1	UND	UND
137	1	Perciformes  	Serranidae 
137	1	UND	UND
137	2	Perciformes	Apogonidae
138	6	Perciformes  	Serranidae 
138	5	Perciformes	Labridae
138	2	Perciformes	Apogonidae
138	2	Perciformes	Scaridae
138	2	UND	UND
138	2	UND	UND
138	1	Perciformes	Apogonidae
138	1	Pleuronectiformes	Bothidae
138	1	Perciformes	Acanthuridae
138	1	Scorpaeniformes	UND
138	1	UND	UND
138	1	Perciformes	Gobiidae
139	1	Perciformes	Gobiidae
139	1	UND	UND
139	1	Perciformes	Acanthuridae
139	2	Perciformes	Labridae
139	2	Perciformes	Apogonidae
139	2	UND	UND
139	4	Perciformes  	Serranidae 
140	1	Perciformes	Scaridae
140	2	Perciformes	Apogonidae
140	1	Perciformes	Gobiidae
140	1	Syngnathiformes	UND
140	1	UND	UND
140	2	UND	UND
140	1	Perciformes	Labridae
141	1	Stomiiformes	Sternoptychidae
141	1	Tetraodontiformes	Tetraodontidae
141	1	Lophiiformes	Antennariidae
142	1	Anguilliformes	UND
142	3	Perciformes	Scaridae
142	1	UND	UND
142	3	Perciformes  	Serranidae 
142	1	Perciformes	Acropomatidae
142	2	Perciformes	Apogonidae
142	1	Aulopiformes	Synodontidae
142	1	Perciformes	Pomacentridae
143	2	Perciformes	Scaridae
143	1	Perciformes	Acropomatidae
143	1	Perciformes	Apogonidae
144	7	Perciformes  	Serranidae 
144	2	Perciformes	Scaridae
144	1	Perciformes	Gobiidae
144	1	Scorpaeniformes	Scorpaenidae
144	2	Perciformes	Labridae
144	1	Perciformes	Apogonidae
144	1	Scorpaeniformes	UND
144	3	UND	UND
152	8	Perciformes	Acropomatidae
152	1	Pleuronectiformes	Bothidae
152	1	Ophidiiformes	Carapidae
152	1	Tetraodontiformes	UND
152	2	Perciformes	Apogonidae
152	3	Perciformes	Gobiidae
152	1	Scorpaeniformes	Scorpaenidae
152	1	Tetraodontiformes	UND
152	4	UND	UND
152	3	Perciformes	Carangidae
152	1	Perciformes	Apogonidae
152	9	Perciformes	Gobiidae
152	3	Perciformes	Gobiidae
152	2	Perciformes	Apogonidae
152	1	Perciformes	Labridae
152	1	Stomiiformes	Gonostomatidae 
152	1	Perciformes	Callionymidae 
152	2	UND	UND
152	1	Perciformes  	Bramidae
152	1	Perciformes	Callionymidae 
152	1	Perciformes	Gobiidae
152	1	Perciformes	Blenniidae
152	1	Myctophiformes	Myctophidae
152	1	UND	UND
153	1	Perciformes	Gobiidae
153	1	Perciformes  	Bramidae
153	7	Tetraodontiformes	UND
153	7	Perciformes	Acropomatidae
154	1	Myctophiformes	Myctophidae
154	1	UND	UND
154	1	Pleuronectiformes	Bothidae
154	2	Anguilliformes	Congridae
154	2	UND	UND
154	5	Perciformes	Gobiidae
154	7	Aulopiformes	Paralepididae
154	2	Scorpaeniformes	Scorpaenidae
154	5	Tetraodontiformes	UND
154	11	Perciformes	Acropomatidae
154	1	Perciformes	Symphysanodontidae
154	3	Perciformes	Labridae
155	4	Syngnathiformes	UND
155	2	Pleuronectiformes	Bothidae
155	2	Ophidiiformes	Ophidiidae
155	2	Tetraodontiformes	UND
155	1	UND	UND
155	2	Perciformes	Pomacanthidae
