fishNumber	genus_species
432	Sphaeramia_orbicularis
433	Zapogon_isus
434	Zoramia_leptacantha
435	Gymnapogon_melanogaster
436	Pseudamia_gelatinosa
437	Epigonus_marisrubri
438	Sillago_sihama
439	Acropoma_japonicum
440	Synagrops_philippinensis
441	Hoplolatilus_geo
442	Hoplolatilus_oreni
443	Malacanthus_brevirostris
444	Malacanthus_latovittatus
445	Branchiostegus_sawakinensis
446	Rachycentron_canadum
447	Echeneis_naucrates
448	Remora_brachyptera
449	Remora_remora
450	Remorina_albescens
451	Alectis_ciliaris
452	Alectis_indica
453	Alepes_djedaba
454	Atule_mate
455	Carangoides_armatus
456	Carangoides_bajad
457	Carangoides_chrysophrys
458	Carangoides_coeruleopinnatus
459	Carangoides_equula
460	Carangoides_ferdau
461	Carangoides_fulvoguttatus
462	Carangoides_plagiotaenia
463	Caranx_heberi
464	Caranx_ignobilis
465	Caranx_melampygus
466	Caranx_sexfasciatus
467	Decapterus_macarellus
468	Decapterus_macrosoma
469	Decapterus_russelli
470	Elagatis_bipinnulata
471	Gnathanodon_speciosus
472	Megalaspis_cordyla
473	Naucrates_ductor
474	Scomberoides_commersonnianus
475	Scomberoides_lysan
476	Selar_crumenophthalmus
477	Seriola_dumerili
478	Seriolina_nigrofasciata
479	Trachinotus_baillonii
480	Trachinotus_blochii
481	Trachurus_indicus
482	Ulua_mentalis
483	Uraspis_helvola
484	Coryphaena_hippurus
485	Aurigequula_fasciata
486	Equulites_klunzingeri
487	Eubleekeria_splendens
488	Gazza_minuta
489	Leiognathus_equulus
490	Photopectoralis_bindus
491	Photoplagios_oblongus
492	Secutor_insidator
493	Lobotes_surinamensis
494	Taractichthys_steindachneri
495	Aphareus_furca
496	Aphareus_rutilans
497	Aprion_virescens
498	Pristipomoides_filamentosus
499	Pristipomoides_multidens
500	Pristipomoides_sieboldii
501	Paracaesio_sordidus
502	Lutjanus_argentimaculatus
503	Lutjanus_bengalensis
504	Lutjanus_bohar
505	Lutjanus_coeruleolineatus
506	Lutjanus_ehrenbergii
507	Lutjanus_fulviflamma
508	Lutjanus_fulvus
509	Lutjanus_gibbus
510	Lutjanus_kasmira
511	Lutjanus_lutjanus
512	Lutjanus_monostigma
513	Lutjanus_rivulatus
514	Lutjanus_russellii
515	Lutjanus_sanguineus
516	Lutjanus_sebae
517	Macolor_niger
518	Caesio_caerulaurea
519	Caesio_lunaris
520	Caesio_striata
521	Caesio_suevica
522	Caesio_varilineata
523	Caesio_xanthonota
524	Pterocaesio_chrysozona
525	Gymnocaesio_gymnoptera
526	Nemipterus_bipunctatus
527	Nemipterus_japonicus
528	Nemipterus_peronii
529	Nemipterus_randalli
530	Nemipterus_zysron
531	Parascolopsis_aspinosa
532	Parascolopsis_baranesi
533	Parascolopsis_eriomma
534	Scolopsis_bimaculatus
535	Scolopsis_ghanam
536	Scolopsis_taeniatus
537	Scolopsis_vosmeri
538	Gerres_filamentosus
539	Gerres_longirostris
540	Gerres_macracanthus
541	Gerres_oblongus
542	Gerres_oyena
543	Diagramma_punctata
544	Plectorhinchus_albovittatus
545	Plectorhinchus_flavomaculatus
546	Plectorhinchus_gaterinus
547	Plectorhinchus_gibbosus
548	Plectorhinchus_schotaf
549	Plectorhinchus_sordidus
550	Pomadasys_argenteus
551	Pomadasys_kaakan
552	Pomadasys_punctulatus
553	Pomadasys_stridens
554	Lethrinus_borbonicus
555	Lethrinus_harak
556	Lethrinus_lentjan
557	Lethrinus_mahsena
558	Lethrinus_microdon
559	Lethrinus_nebulosus
560	Lethrinus_obsoletus
561	Lethrinus_olivaceus
562	Lethrinus_variegatus
563	Lethrinus_xanthochilus
564	Gymnocranius_grandoculis
565	Monotaxis_grandoculis
566	Acanthopagrus_berda
567	Acanthopagrus_bifasciatus
568	Argyrops_filamentosus
569	Argyrops_megalommatus
570	Argyrops_spinifer
571	Cheimerius_nufar
572	Crenidens_crenidens
573	Diplodus_noct
574	Polysteganus_coeruleopunctatus
575	Rhabdosargus_haffara
576	Rhabdosargus_sarba
577	Sparus_aurata
578	Argyrosomus_regius
579	Atrobucca_geniae
580	Mulloidichthys_flavolineatus
581	Mulloidichthys_vanicolensis
582	Parupeneus_cyclostomus
583	Parupeneus_forsskali
584	Parupeneus_heptacanthus
585	Parupeneus_macronemus
586	Parupeneus_rubescens
587	Upeneus_davidaromi
588	Upeneus_guttatus
589	Upeneus_margarethae
590	Upeneus_moluccensis
591	Upeneus_pori
592	Upeneus_suahelicus
593	Upeneus_sulphureus
594	Upeneus_tragula
595	Upeneus_vittatus
596	Monodactylus_argenteus
597	Parapriacanthus_guentheri
598	Pempheris_rhomboidea
599	Pempheris_schwenkii
600	Kyphosus_bigibbus
601	Kyphosus_cinerascens
602	Kyphosus_vaigiensis
603	Platax_orbicularis
604	Platax_teira
605	Drepane_longimana
606	Chaetodon_auriga
607	Chaetodon_austriacus
608	Chaetodon_fasciatus
609	Chaetodon_larvatus
610	Chaetodon_leucopleura
611	Chaetodon_lineolatus
612	Chaetodon_melannotus
613	Chaetodon_melapterus
614	Chaetodon_mesoleucos
615	Chaetodon_paucifasciatus
616	Chaetodon_pictus
617	Chaetodon_semilarvatus
618	Chaetodon_trifascialis
619	Forcipiger_flavissimus
620	Heniochus_diphreutes
621	Heniochus_intermedius
622	Roa_jayakari
623	Apolemichthys_xanthotis
624	Centropyge_multispinis
625	Genicanthus_caudovittatus
626	Pomacanthus_asfur
627	Pomacanthus_imperator
628	Pomacanthus_maculosus
629	Pygoplites_diacanthus
630	Histiopterus_typus
631	Tilapia_zillii
632	Amphiprion_bicinctus
633	Chromis_dimidiata
634	Chromis_flavaxilla
635	Chromis_pelloura
636	Chromis_pembae
637	Chromis_trialpha
638	Chromis_viridis
639	Chromis_weberi
640	Dascyllus_aruanus
641	Dascyllus_marginatus
642	Dascyllus_trimaculatus
643	Abudefduf_sexfasciatus
644	Abudefduf_sordidus
645	Abudefduf_vaigiensis
646	Amblyglyphidodon_flavilatus
647	Amblyglyphidodon_indicus
648	Chrysiptera_annulata
649	Chrysiptera_unimaculata
650	Neoglyphidodon_melas
651	Neopomacentrus_cyanomos
652	Neopomacentrus_miryae
653	Neopomacentrus_xanthurus
654	Plectroglyphidodon_lacrymatus
655	Plectroglyphidodon_leucozonus
656	Pomacentrus_albicaudatus
657	Pomacentrus_aquilus
658	Pomacentrus_leptus
659	Pomacentrus_sulfureus
660	Pomacentrus_trichourus
661	Pomacentrus_trilineatus
662	Pristotis_cyanostigma
663	Pristotis_obtusirostris
664	Stegastes_nigricans
665	Stegastes_punctatus
666	Teixeirichthys_jordani
667	Cirrhitichthys_oxycephalus
668	Cirrhitus_pinnulatus
669	Oxycirrhites_typus
670	Paracirrhites_forsteri
671	Crenimugil_crenilabis
672	Ellochelon_vaigiensis
673	Liza_carinata
674	Liza_planiceps
675	Liza_subviridis
676	Mugil_cephalus
677	Oedalechilus_labiosus
678	Valamugil_cunnesius
679	Valamugil_seheli
680	Sphyraena_barracuda
681	Sphyraena_forsteri
682	Sphyraena_jello
683	Sphyraena_obtusata
684	Sphyraena_pinguis
685	Sphyraena_putnamiae
686	Sphyraena_qenie
687	Anampses_caeruleopunctatus
688	Anampses_lineatus
689	Anampses_meleagrides
690	Anampses_twistii
691	Bodianus_anthioides
692	Bodianus_axillaris
693	Bodianus_diana
694	Bodianus_opercularis
695	Bodianus_trilineatus
696	Cheilinus_abudjubbe
697	Cheilinus_fasciatus
698	Cheilinus_lunulatus
699	Cheilinus_undulatus
700	Cheilio_inermis
701	Choerodon_robustus
702	Cirrhilabrus_blatteus
703	Cirrhilabrus_rubriventralis
704	Coris_aygula
705	Coris_caudimacula
706	Coris_cuvieri
707	Coris_formosa
708	Coris_variegata
709	Epibulus_insidiator
710	Gomphosus_caeruleus
711	Halichoeres_hortulanus
712	Halichoeres_iridis
713	Halichoeres_marginatus
714	Halichoeres_nebulosus
715	Halichoeres_scapularis
716	Halichoeres_zeylonicus
717	Hemigymnus_fasciatus
718	Hemigymnus_melapterus
719	Hologymnosus_annulatus
720	Hologymnosus_doliatus
721	Iniistius_baldwini
722	Iniistius_bimaculatus
723	Iniistius_javanicus
724	Iniistius_pavo
725	Iniistius_pentadactylus
726	Labroides_dimidiatus
727	Larabicus_quadrilineatus
728	Macropharyngodon_bipartitus
729	Minilabrus_striatus
730	Novaculichthys_taeniourus
731	Novaculoides_macrolepidotus
732	Oxycheilinus_arenatus
733	Oxycheilinus_digramma
734	Oxycheilinus_mentalis
735	Oxycheilinus_orientalis
736	Paracheilinus_octotaenia
737	Pseudocheilinus_evanidus
738	Pseudocheilinus_hexataenia
739	Pseudodax_moluccanus
740	Pteragogus_cryptus
741	Pteragogus_flagellifer
742	Pteragogus_pelycus
743	Stethojulis_albovittata
744	Stethojulis_interrupta
745	Suezichthys_caudavittatus
746	Suezichthys_russelli
747	Thalassoma_lunare
748	Thalassoma_purpureum
749	Thalassoma_rueppellii
750	Wetmorella_nigropinnata
751	Bolbometopon_muricatum
752	Cetoscarus_bicolor
753	Chlorurus_genazonatus
754	Chlorurus_gibbus
755	Chlorurus_sordidus
756	Hipposcarus_harid
757	Scarus_collana
758	Scarus_ferrugineus
759	Scarus_frenatus
760	Scarus_fuscopurpureus
761	Scarus_ghobban
762	Scarus_niger
763	Scarus_psittacus
764	Scarus_rubroviolaceus
765	Scarus_scaber
766	Scarus_viridifucatus
767	Calotomus_viridescens
768	Leptoscarus_vaigeinsis
769	Opistognathus_nigromarginatus
770	Stalix_davidsheni
771	Parapercis_hexophtalma
772	Parapercis_simulata
773	Parapercis_somaliensis
774	Bembrops_adenensis
775	Trichonotus_nikii
776	Limnichthys_nitidus
777	Uranoscopus_bauchotae
778	Uranoscopus_dahlakensis
779	Uranoscopus_dollfusi
780	Uranoscopus_guttatus
781	Uranoscopus_marisrubri
782	Uranoscopus_scaber
783	Uranoscopus_sulphureus
784	Champsodon_capensis
785	Champsodon_omanensis
786	Alloblennius_jugularis
787	Alloblennius_pictus
788	Alticus_kirkii
789	Antennablennius_adenensis
790	Antennablennius_australis
791	Antennablennius_hypenetes
792	Atrosalarias_fuscus
793	Blenniella_periophthalmus
794	Cirripectes_castaneus
795	Cirripectes_filamentosus
796	Ecsenius_aroni
797	Ecsenius_dentex
798	Ecsenius_frontalis
799	Ecsenius_gravieri
800	Ecsenius_midas
801	Exallias_brevis
802	Hirculops_cornifer
803	Istiblennius_edentulus
804	Istiblennius_flaviumbrinus
805	Istiblennius_pox
806	Istiblennius_rivulatus
807	Istiblennius_unicolor
808	Mimoblennius_cirrosus
809	Parablennius_cyclops
810	Salarias_fasciatus
811	Enchelyurus_kraussii
812	Enchelyurus_petersi
813	Omobranchus_fasciolatus
814	Omobranchus_punctatus
815	Omobranchus_steinitzi
816	Aspidontus_dussumieri
817	Aspidontus_tractus
818	Meiacanthus_nigrolineatus
819	Petroscirtes_ancylodon
